source_index,written_during_early_access,received_for_free,steam_purchase,author_playtime_at_review,weighted_vote_score,votes_up,char_count,word_count,label,voted_up,language,appid,recommendationid,input_text,positive_topics,negative_topics,raw_response,is_valid,invalid_reason,teacher_model,prompt_version,rag_k,retrieved_examples,text_column,created_at,target_labels,matched_target_labels,human_keep,review_note,rare_target_human_verified,human_verified_scope,rare_positive_human_verified,human_verified_positive_targets
28047.0,False,False,True,428.0,0.68907249,14.0,400.0,68.0,recommended,True,english,1938180,115232170,"Fun and cute snack platformer. Controls feel good and the levels provide a nice mix of challenges. Going through the 50 levels takes about 30 minutes but then doing the deathless challenge is no trivial task. I had to do it three times because the achievement wasn't originally working, but the dev was super responsive, found the issue, and fixed it really quickly. Highly recommend picking this up!","[""gameplay"", ""controls"", ""content"", ""updates_support""]","[""bugs""]","{""positive_topics"": [""gameplay"", ""controls"", ""content"", ""updates_support""], ""negative_topics"": [""bugs""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""This is a fun single-screen platformer. You must collect a key in each level to progress to the next. You must collect a coin in each level to 100% the achievements. I love the minimalist graphics. Took me just under an hour to complete the game. Thumbs up. Recommended."", ""positive_topics"": [""gameplay"", ""graphics"", ""content""], ""negative_topics"": [], ""score"": 0.6799}, {""review"": ""So far, I’m only playing on Beginner difficulty – the others feel a bit too challenging for me (for now). It’s a pity that multiplayer isn’t active at the moment, but I’m sure the game will be even better once it’s back! The maze-like sections and puzzles are a refreshing addition and really keep things interesting. Honestly, this might be the first platformer I actually finish 😄 Also, the price feels fair – I think it’s definitely worth it. 👍"", ""positive_topics"": [""gameplay"", ""content"", ""value""], ""negative_topics"": [""multiplayer""], ""score"": 0.5656}, {""review"": ""Really nice to play a platformer that is short and sweet, with a unique art style, and feels really good to play. Seeing each of the incredible (and often upsetting) bosses feels worth the price of admission alone!"", ""positive_topics"": [""gameplay"", ""graphics"", ""content"", ""value""], ""negative_topics"": [], ""score"": 0.5166}]",review_text_clean,2026-07-13T14:06:50,,,,,,,,
255014.0,False,False,True,27.0,0.43478259,0.0,43.0,7.0,not_recommended,False,english,202970,202125760,nope nope nbope nopeopeopep shity shtiy bad,[],"[""other""]","{""positive_topics"": [], ""negative_topics"": [""other""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,[],review_text_clean,2026-07-13T14:06:57,,,,,,,,
149067.0,False,False,True,130.0,0.5,0.0,181.0,37.0,not_recommended,False,english,802850,184343150,"yeah, the game is ok but not enough for it to be good. You get minimal weapons, bad quality, wonky controls, and if you hit the nazis in the head sometimes they curl up into a ball.",[],"[""controls"", ""content"", ""bugs""]","{""positive_topics"": [], ""negative_topics"": [""controls"", ""content"", ""bugs""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""The game is WAAAAY to dark. Really strains my eyes. There isn't much to do besides from going from one point of interest to another... no aliens stalking the player, no creepy caves... Combat is what you would expect from a third person shooter BUT there is no dodge mechanic no abilities... just Run and Gun. ( Granted I only played less than 1 h ). I wanted to like it and even buy it for a friend but I guess it's not for me."", ""positive_topics"": [], ""negative_topics"": [""graphics"", ""gameplay"", ""content""], ""score"": 0.5691}, {""review"": ""Game is a great Idea the Graphics are pretty Polished but because of how new it is, it is very Dead Server Wise, so I recommend you have friends to play with, because I didn't, 8/10 might buy it again later on"", ""positive_topics"": [""graphics""], ""negative_topics"": [""multiplayer""], ""score"": 0.5572}, {""review"": ""Great game! Especially good for those who like close range combat. Do save frequently, as you can get stuck in the environment sometimes. Also, if you roll a lot in combat to evade (you should), make sure to take a couple of steps towards your target before attacking, otherwise you will frequently attack in the wrong direction. Game has wonderful visuals and an exciting story. Game uses the rather unique SILK engine."", ""positive_topics"": [""gameplay"", ""graphics"", ""story""], ""negative_topics"": [""bugs"", ""controls""], ""score"": 0.555}]",review_text_clean,2026-07-13T14:07:07,,,,,,,,
66939.0,False,False,True,71.0,0.40108624,5.0,753.0,139.0,recommended,True,english,2192840,134483962,"Found this to be a pretty solid wolfenstein clone for 5 dollars. i like the music and the shotgun and chaingun are suitably punchy. my biggest criticism is that i found the sound mixing to be really bad. sound effects clip over each other and theres one extremely loud barrel noise that hurts my ears even on the lowest volume settings. i would like to see improvements to balance (maybe make hp pickups either 5 points or make med packs more common because i found healing very laborious for little reward) and maybe rework some levels as they are very long with lots of doors to nowhere and make you do a lot of pointless walking. most people in the negative reviews are just angry terfs and fash, this is a solid little game and a great first project","[""audio"", ""gameplay"", ""value""]","[""audio"", ""difficulty_balance"", ""content""]","{""positive_topics"": [""audio"", ""gameplay"", ""value""], ""negative_topics"": [""audio"", ""difficulty_balance"", ""content""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""A very nice, very stylish, creative roguelite bullet-heaven game. The game isn't super long, took me about 6 hours to finish, would probably take about 30 more minutes for 100% of the achievements. The game has full controller support and nice accessibility options for modulating difficulty, not to mention the ability to pick your difficulty less directly within runs as well. The art is great (gives me Cowboy Bebop vibes, can't quite put my finger on why), the music is great, the story (surprised me that there was any!) is basic but touching, the gameplay is somewhat innovative (mixing Necrodancer-style rhythm-combat mechanics with Vampire Survivors-like top-down bullet-heaven combat) and is pretty fun, although it gets a little bit repetitive by the end. I hope there is a bit more exploration of unsteady rhythms if the devs ever make a next entry, there is a lot of leniency in getting 'perfect's here and after a while the consistent rhythm gets pretty second-nature, so it might be nice to see that shaken up. The game lacks polish, but not in any way that truly breaks the experience. It's mostly observed in some unintended behaviours¹, incorrect tooltips, etc. The main thing that diminishes the experience in my opinion is the lack of visual clarity on some levels and with some builds (looking at you, 'Chain projectiles'). I also think it would benefit from some more clarity on how its basic mechanics work (tagging weapons with their damage types, an option to show values in skill descriptions, etc.), the 15 tips on pause help but don't really explain everything (although with how short the experience is and with how not-that-difficult even the later stages are, you won't play for long enough for this lack of knowledge to sour your experience like it probably would in a 100+ hour game). Ah, also, for whatever reason, achievements aren't working at all for me (they don't even show up on the game's page in my library), although that might be Steam's fault. Overall, I'd recommend the game, and also wish the best for the devs in their future endeavours! ¹ = Restarting a run will start you with a random character, including ones that you have not unlocked yet (including the secret 13th, happened on my first death lol). Sometimes the solo that gets activated seems to be random if you have 3 instruments and all have full meter. Using a solo sometimes allows enemies to fire projectiles after all the existing projectiles are cleared, meaning you can get locked into getting hit since you can't move during the solo animation (died to that once :'D). You can actually move during the solo animation, as well as the post-battle \""Kill the music\"" transition, if you were ending a dodge while entering those states. On controller, pausing on the item upgrade screen will pick whatever upgrade you were hovering when the game is unpaused."", ""positive_topics"": [""gameplay"", ""graphics"", ""audio"", ""story"", ""controls"", ""accessibility""], ""negative_topics"": [""gameplay"", ""ui_ux"", ""bugs""], ""score"": 0.649}, {""review"": ""The gameplay is level based and monotonous. its too easy to kite enemys, combat does not feel enjoyable and stealth just doesnt matter, theres very little to craft and half the things you can craft don't seem to do anything worthwhile. the visuals are alright, probably not to most peoples tastes though. I expected something a little darker and a bit gritty, but theres constantly stock music playing in the backround thats reminiscent of android shovelware. theres a few mechanics that seem to do nothing such as bagging corpses and the rage meter, which is basically a stamina bar. tho i have had negative rage before and nothing happened. Even though i only played the first 3 levels I dont wanna play anymore, first impressions are important and this left a sour taste in my mouth. Even though i will be refunding this game I wish the devs better luck on their next one."", ""positive_topics"": [""graphics""], ""negative_topics"": [""gameplay"", ""audio"", ""content"", ""bugs""], ""score"": 0.5872}, {""review"": ""This game is a delight. I did have a few issues, in that the enemy placement fells a bit overwhelming and the movable blocks feel a bit hard to interact with, but the game has a really fun sound track and the character is adorable. Edit- I messed up and clicked the button for received for free instead of allow comments, pity my brain for not working"", ""positive_topics"": [""audio"", ""graphics""], ""negative_topics"": [""difficulty_balance"", ""controls""], ""score"": 0.5667}]",review_text_clean,2026-07-13T14:07:27,,,,,,,,
327450.0,False,False,True,10.0,0.5,0.0,140.0,25.0,recommended,True,english,1694750,202980534,works very well on win 24h2. no issues so far. saves me the trouble as replacement Windows 11 stock start menu. thank you stardock software.,"[""performance""]",[],"{""positive_topics"": [""performance""], ""negative_topics"": []}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""At the time of this review the game is not functioning at all. Freezes dead when loading in the main menu. Current Setup: CPU - Ryzen 7 7800X3D RAM - 64GB GPU - XFX RX6900 XTX OS - Win 11 Pro."", ""positive_topics"": [], ""negative_topics"": [""bugs""], ""score"": 0.3886}, {""review"": ""It runs terribly and looks awful. For a solo development, it is pretty cool but as a game that I paid $$ for, it is a failure. Take this over to itch.io for some help and feedback. [URL]"", ""positive_topics"": [], ""negative_topics"": [""performance"", ""graphics"", ""value""], ""score"": 0.3675}, {""review"": ""Developer: Fix your game! I couldn't even navigate in the menu because the amount of lag. The loading time was awful and the game froze just from me to trying to put the settings LOWER. How would you expect me to start the game and actually try to play this if the menu doesn't even work? Can't recommend this to anybody."", ""positive_topics"": [], ""negative_topics"": [""ui_ux"", ""performance"", ""bugs""], ""score"": 0.3656}]",review_text_clean,2026-07-13T14:07:43,,,,,,,,
371413.0,False,False,True,,0.44602251,0.0,92.0,21.0,not_recommended,False,english,221166,21846856,I don't know what is up but my DLC doesnt seem to be active? I still have to earn every car?,[],"[""bugs"", ""monetization""]","{""positive_topics"": [], ""negative_topics"": [""bugs"", ""monetization""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""Did not say it requires the other DLC to function. Will wait for a sale on that one to play this I suppose."", ""positive_topics"": [], ""negative_topics"": [""monetization""], ""score"": 0.4489}, {""review"": ""i bought it but its not giving me my content"", ""positive_topics"": [], ""negative_topics"": [""bugs""], ""score"": 0.3937}, {""review"": ""I feel the DLC is overpriced but the kayak update brought me back to the game."", ""positive_topics"": [""updates_support""], ""negative_topics"": [""value""], ""score"": 0.3792}]",review_text_clean,2026-07-13T14:07:54,,,,,,,,
408959.0,False,False,True,6.0,0.58950424,6.0,138.0,22.0,not_recommended,False,english,496610,31433267,For achievement hunters: You shouldn´t buy this game. Because all six achievements are currently broken (at the time I write this review).,[],"[""bugs""]","{""positive_topics"": [], ""negative_topics"": [""bugs""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""Other than the usual letters and symbols, this one has some real interesting achievements. And the game is surprisingly fun."", ""positive_topics"": [""gameplay""], ""negative_topics"": [], ""score"": 0.5085}, {""review"": ""Nice game Ez to get all achievements (100%)"", ""positive_topics"": [""other""], ""negative_topics"": [], ""score"": 0.5004}, {""review"": ""This part of the story SHOULD be in the main game for free. In other way, it's just an end-game DLC for faster leveling and ahievements hunting. Oh yeah, and for the swim suit. DON'T BUY IT FOR THE FULL PRICE, it's not worth it!"", ""positive_topics"": [], ""negative_topics"": [""content"", ""value"", ""monetization""], ""score"": 0.4661}]",review_text_clean,2026-07-13T14:08:03,,,,,,,,
295413.0,False,False,True,,0.51724142,1.0,192.0,39.0,recommended,True,english,3367250,202620695,"Take Me, Vitaly should be game of the year for adult games. It's one of the best game's I have played in a long time. The devs deserve the extra money! I hope devs keep making games like this!","[""gameplay"", ""value""]",[],"{""positive_topics"": [""gameplay"", ""value""], ""negative_topics"": []}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""The game is really great. I was playing to pass the time and soon I became addicted. The game is very fluid, and the features unlocked before the game starts and between waves add extra fun to the game. Also, the game is extremely cheap, I recommend it to everyone."", ""positive_topics"": [""gameplay"", ""value""], ""negative_topics"": [], ""score"": 0.4458}, {""review"": ""I really enjoy the format of the game, the battles are like real life, not just everyone drifting around on a track trying to get points. After finishing my PC and moving to playing on it the game is next level too. The devs are really pushing some big things for the game and its players and myself and our team can't wait to see it finished!"", ""positive_topics"": [""gameplay"", ""updates_support""], ""negative_topics"": [], ""score"": 0.4456}, {""review"": ""This game has major old school Sims vibes. Like the kind I used to play on the gameboy. No, it isn't solely vet stuff, and I think the extra voluntary missions make this game charming and enjoyable. If you ever get bored doing vet stuff, you can feed some fish, help farmer Harris, or look for hidden puzzle pieces. The tutorial was fun, and I enjoy the quest-based style of this game. If you're looking for something chill that has a lot of charm, this game is great. There are obviously some bugs that could be worked out, but that's to be expected."", ""positive_topics"": [""gameplay"", ""content""], ""negative_topics"": [""bugs""], ""score"": 0.443}]",review_text_clean,2026-07-13T14:08:19,,,,,,,,
288401.0,False,False,True,705.0,0.5,0.0,73.0,16.0,recommended,True,english,347940,202539904,"Having a blast and love the style of this game beat the game, it was fun!","[""gameplay"", ""graphics""]",[],"{""positive_topics"": [""gameplay"", ""graphics""], ""negative_topics"": []}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""Great game. Loved the art style. Platforming was tough but doable, Can't wait for the 13th installment. :D"", ""positive_topics"": [""graphics"", ""difficulty_balance""], ""negative_topics"": [], ""score"": 0.6123}, {""review"": ""The game is so chill and relaxing, I really like the art and the music in this game."", ""positive_topics"": [""graphics"", ""audio""], ""negative_topics"": [], ""score"": 0.5729}, {""review"": ""This game rules! It's really fun and fast and feels like an arcade game. I hope to discover that there are others like it!"", ""positive_topics"": [""gameplay""], ""negative_topics"": [], ""score"": 0.5482}]",review_text_clean,2026-07-13T14:08:31,,,,,,,,
497465.0,False,False,True,151.0,0.52830189,2.0,1735.0,321.0,recommended,True,english,1018270,67655365,"So... I was very excited when I found this game. Not only because it's exactly the kind of game I was looking for, but also because the price was so reasonable. I just finished my first play-through and I did really enjoy it although I do have some comments & concerns about gameplay. I saw before purchasing that a lot of people insisted this game needed some kind of tutorial & that has been fixed, I found the tutorial to be super helpful. I do agree with another commenter though that a guided-victory tutorial (rather than a show & tell tutorial) would be much more beneficial. I did have to lose the game twice before I realized how to properly strategize with the available faith. After I figured out exactly what I was doing, it was much more enjoyable. It would be GREAT if the abilities tab was bigger or if you could just select abilities from the drawer, rather than having to drag them into the main panel. I would also love it if it was possible to continue playing after winning the game. Yes, all objectives have been met by the time you win, but I would still love to be able to completely conquer the map even if there is no added benefit to doing so. I'd also love to see some tiered advancement. For example ""Win as [someone], unlock [something], Start with [country], unlock [something], etc."". Just something to motivate further playing since once you've run through all the Gods, you're just playing the same game over again. Just a note, not a huge deal. All in all, this is a fantastic game & I'm excited I found it. It was a little difficult getting in because, like I said, the tutorial was a good guide but not super helpful in actual gameplay, but once you figure it out it's a great way to kill some time.","[""gameplay"", ""value"", ""ui_ux""]","[""controls"", ""replayability""]","{""positive_topics"": [""gameplay"", ""value"", ""ui_ux""], ""negative_topics"": [""controls"", ""replayability""]}",True,,gemma3:27b,pseudo_topics_rag_v3_embedding,3.0,"[{""review"": ""Lack of tutorial made me feel completely lost. I couldn't navigate well and had a hard time figuring out the controls. Poor graphics and sound design is very obvious and gets boring very fast. Seems like not a lot of work was put into the game. Overall very unsatisfied."", ""positive_topics"": [], ""negative_topics"": [""ui_ux"", ""controls"", ""graphics"", ""audio""], ""score"": 0.5677}, {""review"": ""So far, I’m only playing on Beginner difficulty – the others feel a bit too challenging for me (for now). It’s a pity that multiplayer isn’t active at the moment, but I’m sure the game will be even better once it’s back! The maze-like sections and puzzles are a refreshing addition and really keep things interesting. Honestly, this might be the first platformer I actually finish 😄 Also, the price feels fair – I think it’s definitely worth it. 👍"", ""positive_topics"": [""gameplay"", ""content"", ""value""], ""negative_topics"": [""multiplayer""], ""score"": 0.5443}, {""review"": ""It's a shame that a game with such promising potential is hampered by its current inactivity, clunky mechanics and being so bare bones. Even the tutorial is more of a showcase than a tutorial."", ""positive_topics"": [], ""negative_topics"": [""gameplay"", ""content"", ""ui_ux"", ""updates_support""], ""score"": 0.536}]",review_text_clean,2026-07-13T14:08:49,,,,,,,,
